,Unnamed: 0,date,event,map,team_1,team_2
8640,8640.0,28/3/22,Elisa Invitational Spring 2022 Contenders,['Inferno'],PROSPECTS (5),Savage (16)
8641,8641.0,28/3/22,ESL Australia & NZ Championship Season 14,['Ancient'],DGG (16),Nut-E (4)
8642,8642.0,28/3/22,ESL Australia & NZ Championship Season 14,['Inferno'],Nut-E (6),DGG (16)
8643,8643.0,28/3/22,ESL Australia & NZ Championship Season 14,['Dust2'],DGG (9),Nut-E (16)
8644,8644.0,28/3/22,ESL Australia & NZ Championship Season 14,['Nuke'],1620 Kings (22),Antic (18)
8645,8645.0,28/3/22,ESL Australia & NZ Championship Season 14,['Overpass'],Antic (10),1620 Kings (16)
8646,8646.0,28/3/22,ESEA Advanced Season 40 North America,['Inferno'],Infinity (7),Unjustified (16)
8647,8647.0,28/3/22,ESEA Advanced Season 40 North America,['Ancient'],Unjustified (8),Infinity (16)
8648,8648.0,28/3/22,ESEA Advanced Season 40 North America,['Nuke'],Infinity (11),Unjustified (16)
8649,8649.0,28/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Overpass'],paiN (9),MIBR (16)
8650,8650.0,28/3/22,CBCS Retake Series 2022 Season 1,['Overpass'],FURIA Academy (22),MIBR Academy (19)
8651,8651.0,28/3/22,CBCS Retake Series 2022 Season 1,['Nuke'],MIBR Academy (14),FURIA Academy (16)
8652,8652.0,28/3/22,ESEA Advanced Season 40 North America,['Ancient'],Limitless (16),Touch Point (5)
8653,8653.0,28/3/22,ESEA Advanced Season 40 North America,['Dust2'],Touch Point (11),Limitless (16)
8654,8654.0,27/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Nuke'],Orgless (9),MIBR (16)
8655,8655.0,27/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Inferno'],MIBR (16),Orgless (12)
8656,8656.0,27/3/22,CBCS Retake Series 2022 Season 1,['Nuke'],Black Dragons (16),AJF (12)
8657,8657.0,27/3/22,CBCS Retake Series 2022 Season 1,['Dust2'],Black Dragons (9),AJF (16)
8658,8658.0,27/3/22,CBCS Retake Series 2022 Season 1,['Mirage'],AJF (13),Black Dragons (16)
8659,8659.0,27/3/22,ESEA Spring 2022 Cash Cup 1 Europe,['Vertigo'],AVANGAR (16),EC Brugge (11)
8660,8660.0,27/3/22,ESEA Spring 2022 Cash Cup 1 Europe,['Mirage'],EC Brugge (3),AVANGAR (16)
8661,8661.0,27/3/22,ESL Pro League Season 15,['Inferno'],Party Astronauts (10),Movistar Riders (16)
8662,8662.0,27/3/22,ESL Pro League Season 15,['Nuke'],Party Astronauts (16),Movistar Riders (4)
8663,8663.0,27/3/22,ESL Pro League Season 15,['Overpass'],Movistar Riders (16),Party Astronauts (10)
8664,8664.0,27/3/22,ESL Pro League Season 15,['Ancient'],BIG (16),GODSENT (4)
8665,8665.0,27/3/22,ESL Pro League Season 15,['Nuke'],GODSENT (11),BIG (16)
8666,8666.0,27/3/22,ESL Impact Spring 2022 Cash Cup 1 Europe,['Overpass'],proxy (9),Ambush fe (16)
8667,8667.0,27/3/22,ESL Impact Spring 2022 Cash Cup 1 Europe,['Dust2'],proxy (16),Ambush fe (8)
8668,8668.0,27/3/22,ESL Impact Spring 2022 Cash Cup 1 Europe,['Mirage'],Ambush fe (16),proxy (4)
8669,8669.0,27/3/22,SCL Season 3,['Mirage'],BOOMSHAKE (11),Run or Die (16)
