,Unnamed: 0,team,points,players,date_start
9467,,['MIBR Academy'],['(1 points)'],"['card', 'brnz4n', 'insani', 'gAbrieL', 'agR']",29/11/2021
9468,,['Meta BR'],['(1 points)'],"['Demonos', 'desh', 'CutzMeretz', 'Alisson', 'Bruninho']",29/11/2021
9469,,['Asterys'],['(0 points)'],"['dukka', 'RCF', 'f4stzin', 'Torres', 'ph1']",29/11/2021
9470,,['Fiend'],['(76 points)'],"['bubble', 'v1c7oR', 'dream3r', 'REDSTAR', 'h4rn']",29/11/2021
9471,,['SKADE'],['(32 points)'],"['SHiPZ', 'dennyslaw', 'KalubeR', 'Duplicate', 'Rainwaker']",29/11/2021
9472,,['FATE'],['(9 points)'],"['niki1', 'Patrick', 'rafftu', 'shaiK', 'hybrid']",29/11/2021
9473,,['SINNERS'],['(40 points)'],"['oskar', 'ZEDKO', 'beastik', 'SHOCK', 'NEOFRAG']",29/11/2021
9474,,['eSuba'],['(17 points)'],"['twist', 'Pechyn', 'luko', 'Blogg1s', 'sAvana1']",29/11/2021
9475,,['ECLOT'],['(13 points)'],"['Valencio', 'ZED', 'K1-FiDa', 'capseN', 'nbqq']",29/11/2021
9476,,['Entropiq Prague'],['(2 points)'],"['AJTT', 'leckr', 'HONES', 'MoriiSko', 'KWERTZZ']",29/11/2021
9477,,['Heroic'],['(400 points)'],"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']",29/11/2021
9478,,['Astralis'],['(217 points)'],"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']",29/11/2021
9479,,['Copenhagen Flames'],['(137 points)'],"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']",29/11/2021
9480,,['ECSTATIC'],['(59 points)'],"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']",29/11/2021
9481,,['MASONIC'],['(14 points)'],"['blaq', 'Queenix', 'm4tt', 'kraghen', 'J3nsyy']",29/11/2021
9482,,['AaB'],['(9 points)'],"['alexsomfan', 'SandeN', 'Patti', 'jarko']",29/11/2021
9483,,['AGF'],['(8 points)'],"['cajunb', 'Nodios', 'Kristou', 'Cabbi', 'Buzz']",29/11/2021
9484,,['OPAA'],['(7 points)'],"['notaN', 'Tauson', 'Staehr']",29/11/2021
9485,,['Astralis Talent'],['(6 points)'],"['Altekz', 'Fessor', 'vigg0', 'brzer', 'MistR']",29/11/2021
9486,,['Tricked'],['(6 points)'],"['larsen', 'kiR', 'kwezz', 'IceBerg', 'PR1mE']",29/11/2021
9487,,['struggletony'],['(5 points)'],"['tmL', 'VigzZ', 'zeq', 'Maccen', 'MSN']",29/11/2021
9488,,['HAVU'],['(25 points)'],"['Aerial', 'xseveN', 'ZOREE', 'sLowi', 'jemi']",29/11/2021
9489,,['hREDS'],['(10 points)'],"['xartE', 'oopee', 'eDi', 'Sm1llee', 'LYNXi']",29/11/2021
9490,,['KOVA'],['(6 points)'],"['uli', 'Twixie', 'spargo', 'zks', 'Airax']",29/11/2021
9491,,['Conquer'],['(4 points)'],"['Elfern', 'Choco', 'Jimpphat', 'Jerppa', 'myltsi']",29/11/2021
